objetID;dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;xD;yD;zD;prF;depPrF;concessionPrF;absF;cumulF;xF;yF;zF;cote;voie;accrochage;anneeMesureTrafic;typeComptageTrafic;typeComptageTrafic_lib;TMJA;ratio_PL,,,,,,,,,
CONTINUITE_12;01/01/2019;31D0044;44;0;31;N;0;0;511656,78;6204078,36;0;0;31;N;44;44;511698,51;6204063,93;0;I;0;ACCROCHE;;;;;,,,,,
CONTINUITE_13;01/01/2019;31D0044E;762;0;31;N;0;0;511367,22;6204210,06;0;0;31;N;762;762;511880,76;6203732,4;0;I;0;ACCROCHE;;;;;,,,,,
CONTINUITE_14;01/01/2019;69D0301;6055;2;69;N;-981;0;844036,84;6510806,45;0;7;69;N;71;6055;849346,89;6509342,34;0;I;0;ACCROCHE;;;;;,,,,,
CONTINUITE_15;01/01/2019;69D0383;13752;4;69;N;-494;0;846831,3;6522372,16;0;17;69;N;544;13752;843537,87;6512429,8;0;I;0;ACCROCHE;;;;;,,,,,
CONTINUITE_9;01/01/2019;69D0383BPNL;2408;0;69;N;0;0;844982,46;6522772,27;0;2;69;N;413;2408;846831,3;6522372,16;0;I;0;ACCROCHE;;;;;,,,,,
CONTINUITE_10;01/01/2019;75000C01;35040;0;75;N;0;0;655221,44;6858722,8;0;35;75;N;40;35040;655221,44;6858722,8;0;I;0;ACCROCHE;;;;;,,,,,
CONTINUITE_11;01/01/2019;75000C02;35040;0;75;N;0;0;655227,28;6858703,75;0;35;75;N;40;35040;655227,28;6858703,75;0;I;0;ACCROCHE;;;;;,,,,,
TMJ19_1;01/01/2019;A0001;2440;0;93;N;0;0;653006,6;6867037,55;0;2;93;N;460;2440;652895,68;6869486,5;0;I;0;ACCROCHE;2019;1;Permanent horaire;132186;,,,,,
TMJ19_2;01/01/2019;A0001;785,2;2;93;N;460;2440;652895,68;6869486,5;0;3;93;N;248,2;3225,2;653192,95;6870100,7;0;I;0;ACCROCHE;2019;1;Permanent horaire;132186;,,
TMJ19_3;01/01/2019;A0001;401,8;3;93;N;248,2;3225,2;653192,95;6870100,7;0;3;93;N;650;3627;653570,77;6870241,67;0;I;0;ACCROCHE;2019;1;Permanent horaire;132186;,,
TMJ19_4;01/01/2019;A0001;820,5;3;93;N;650;3627;653570,77;6870241,67;0;4;93;N;460,5;4447,5;654333,83;6870523,68;0;I;0;ACCROCHE;2019;1;Permanent horaire;132186;,,
TMJ19_5;01/01/2019;A0001;229,5;4;93;N;460,5;4447,5;654333,83;6870523,68;0;4;93;N;690;4677;654554,12;6870572;0;I;0;ACCROCHE;2019;1;Permanent horaire;132186;,,,
TMJ19_6;01/01/2019;A0001;210;4;93;N;690;4677;654554,12;6870572;0;4;93;N;900;4887;654759,06;6870596,05;0;I;0;ACCROCHE;2019;1;Permanent horaire;132186;,,,,,,
TMJ19_7;01/01/2019;A0001;2018;4;93;N;900;4887;654759,06;6870596,05;0;6;93;N;900;6905;656725,22;6870934,53;0;I;0;ACCROCHE;2019;1;Permanent horaire;132757;,,,,,
TMJ19_8;01/01/2019;A0001;102;6;93;N;900;6905;656725,22;6870934,53;0;7;93;N;0;7007;656820,85;6870967,75;0;I;0;ACCROCHE;2019;1;Permanent horaire;179900;,,,,,
TMJ19_9;01/01/2019;A0001;1700;7;93;N;0;7007;656820,85;6870967,75;0;8;93;N;700;8707;658432,54;6871533,44;0;I;0;ACCROCHE;2019;1;Permanent horaire;179900;,,,,,
TMJ19_10;01/01/2019;A0001;2818;8;93;N;700;8707;658432,54;6871533,44;0;11;93;N;513;11525;660673,01;6873226,12;0;I;0;ACCROCHE;2019;1;Permanent horaire;196501;50,,,,,
TMJ19_11;01/01/2019;A0001;678;11;93;N;513;11525;660673,01;6873226,12;0;12;93;N;200;12203;661190,21;6873674,3;0;I;0;ACCROCHE;2019;1;Permanent horaire;122500;,,,,,
TMJ19_12;01/01/2019;A0001;1202;12;93;N;200;12203;661190,21;6873674,3;0;0;95;N;0;13405;662045,66;6874523,29;0;I;0;ACCROCHE;2019;1;Permanent horaire;122500;,,,,,
TMJ19_13;01/01/2019;A0001;580;0;95;N;0;13405;662045,66;6874523,29;0;14;95;N;0;13985;662458,53;6874933,32;0;I;0;ACCROCHE;0;;;;,,,,,
TMJ19_14;01/01/2019;A0001;4820;14;95;N;0;13985;662458,53;6874933,32;0;18;95;N;810;18805;665417,28;6878704,65;0;I;0;ACCROCHE;2019;1;Permanent horaire;98800;,,,,,
TMJ19_15;01/01/2019;A0001;70;18;95;N;810;18805;665417,28;6878704,65;0;19;95;C;0;18875;665481,08;6878892,47;0;I;0;ACCROCHE;0;;;;,,,,,
Sanef_1;01/01/2019;A0001;1499;19;95;C;0;18875;665481,08;6878892,47;0;20;95;C;499;20374;665966,61;6880317,6;0;I;0;ACCROCHE;2019;1;Permanent horaire;100582;17,1,,,,
NbILnCD_section1_Sanef_1;01/01/2019;A0001;242;20;95;C;499;20374;665966,61;6880317,6;0;20;95;C;741;20616;666035,68;6880520,91;0;I;0;ACCROCHE;2019;1;Permanent horaire;100582;17,1,,,,
NbILnCD_section2_Sanef_1;01/01/2019;A0001;7132;20;95;C;741;20616;666035,68;6880520,91;0;27;95;C;873;27748;667208,81;6887489,88;0;I;0;ACCROCHE;2019;1;Permanent horaire;100582;17,1,,,,
Sanef_2;01/01/2019;A0001;2777;27;95;C;873;27748;667208,81;6887489,88;0;30;95;C;650;30525;667345,96;6890249,01;0;I;0;ACCROCHE;2019;1;Permanent horaire;88718;17,69,,,,
NbILnCD_section1_Sanef_2;01/01/2019;A0001;1610;30;95;C;650;30525;667345,96;6890249,01;0;32;60;C;260;32135;667686,69;6891809,56;0;I;0;ACCROCHE;2019;1;Permanent horaire;88718;17,69,,,,
Sanef_3;01/01/2019;A0001;10166;32;60;C;260;32135;667686,69;6891809,56;0;42;60;C;426;42301;671659,72;6900724,84;0;I;0;ACCROCHE;2019;1;Permanent horaire;85306;18,26,,,,
Sanef_4;01/01/2019;A0001;1694;42;60;C;426;42301;671659,72;6900724,84;0;44;60;C;120;43995;672895,5;6901827,49;0;I;0;ACCROCHE;2019;1;Permanent horaire;60705;22,93,,,,
Sanef_5;01/01/2019;A0001;13620;44;60;C;120;43995;672895,5;6901827,49;0;57;60;C;740;57615;677269,45;6913464,74;0;I;0;ACCROCHE;2019;1;Permanent horaire;66830;23,22,,,,
Sanef_6;01/01/2019;A0001;8733;57;60;C;740;57615;677269,45;6913464,74;0;66;60;C;473;66348;678030,74;6921986,21;0;I;0;ACCROCHE;2019;1;Permanent horaire;59640;24,67,,,,
Sanef_7;01/01/2019;A0001;14075;66;60;C;473;66348;678030,74;6921986,21;0;80;60;C;548;80423;679799,4;6935810,25;0;I;0;ACCROCHE;2019;1;Permanent horaire;55654;25,69,,,,
Sanef_8;01/01/2019;A0001;11468;80;60;C;548;80423;679799,4;6935810,25;0;92;60;C;16;91891;682330,82;6946951,22;0;I;0;ACCROCHE;2019;1;Permanent horaire;56145;25,52,,,,
NbILnCD_section1_Sanef_8;01/01/2019;A0001;9286;92;60;C;16;91891;682330,82;6946951,22;0;101;80;C;302;101177;683521,06;6956095,56;0;I;0;ACCROCHE;2019;1;Permanent horaire;56145;25,52,,,,
Sanef_9;01/01/2019;A0001;17216;101;80;C;302;101177;683521,06;6956095,56;0;118;80;C;518;118393;687952,39;6972647,1;0;I;0;ACCROCHE;2019;1;Permanent horaire;53287;26,9,,,,
Sanef_10;01/01/2019;A0001;2964;118;80;C;518;118393;687952,39;6972647,1;0;121;80;C;482;121357;688279,33;6975583,73;0;I;0;ACCROCHE;2019;1;Permanent horaire;66471;24,62,,,,
Sanef_11;01/01/2019;A0001;10318;121;80;C;482;121357;688279,33;6975583,73;0;131;80;C;800;131675;690044,79;6985631,47;0;I;0;ACCROCHE;2019;1;Permanent horaire;66888;25,25,,,,
Sanef_12;01/01/2019;A0001;4966;131;80;C;800;131675;690044,79;6985631,47;0;136;80;C;766;136641;691298,91;6990414,29;0;I;0;ACCROCHE;2019;1;Permanent horaire;67641;25,5,,,,
Sanef_13;01/01/2019;A0001;2220;136;80;C;766;136641;691298,91;6990414,29;0;138;80;C;986;138861;691699,49;6992566,8;0;I;0;ACCROCHE;2019;1;Permanent horaire;44371;26,4,,,,
NbILnCD_section1_Sanef_13;01/01/2019;A0001;7891;138;80;C;986;138861;691699,49;6992566,8;0;146;62;C;877;146752;690810,7;7000344,35;0;I;0;ACCROCHE;2019;1;Permanent horaire;44371;26,4,,,,
Sanef_14;01/01/2019;A0001;19107;146;62;C;877;146752;690810,7;7000344,35;0;165;62;C;984;165859;690643,39;7019124,53;0;I;0;ACCROCHE;2019;1;Permanent horaire;45960;26,3,,,,
Sanef_15;01/01/2019;A0001;4322;165;62;C;984;165859;690643,39;7019124,53;0;170;62;C;306;170181;692272,53;7023133,97;0;I;0;ACCROCHE;2019;1;Permanent horaire;47380;26,19,,,,
Sanef_16;01/01/2019;A0001;3760;170;62;C;306;170181;692272,53;7023133,97;0;174;62;C;66;173941;694414,51;7026218,92;0;I;0;ACCROCHE;2019;1;Permanent horaire;48851;25,6,,,,
Sanef_17;01/01/2019;A0001;11959;174;62;C;66;173941;694414,51;7026218,92;0;186;62;C;25;185900;698769,14;7036692,02;0;I;0;ACCROCHE;2019;1;Permanent horaire;73540;18,78,,,,
11199;01/01/2019;A0001;891;186;62;C;25;185900;698769,14;7036692,02;0;186;62;C;916;186791;698351,8;7037530,5;0;I;0;ACCROCHE;;;;;,,,,,
NbILnCD_section1_11199;01/01/2019;A0001;7439;187;62;N;0;186791;698351,8;7037530,5;0;194;62;N;489;194230;700064,97;7044327,59;0;I;0;ACCROCHE;;;;;,,,,,
NbILnCD_section2_11199;01/01/2019;A0001;6819;194;62;N;489;194230;700064,97;7044327,59;0;201;59;N;315;201049;703969,88;7049721,88;0;I;0;ACCROCHE;;;;;,,,,,
TMJ19_18;01/01/2019;A0001;5183,6;201;59;N;315;201049;703969,88;7049721,88;0;206;59;N;485,6;206232,6;706554,89;7054220,35;0;I;0;ACCROCHE;2019;1;Permanent horaire;;,,
TMJ19_19;01/01/2019;A0001;926,4;206;59;N;485,6;206232,6;706554,89;7054220,35;0;207;59;N;398;207159;707043,38;7055010,6;0;I;0;ACCROCHE;2019;1;Permanent horaire;;,,
TMJ19_20;01/01/2019;A0001;946;207;59;N;398;207159;707043,38;7055010,6;0;208;59;N;350;208105;707336,72;7055888,26;0;I;0;ACCROCHE;2019;1;Permanent horaire;;,,,,,
TMJ19_21;01/01/2019;A0001;793,4;208;59;N;350;208105;707336,72;7055888,26;0;209;59;N;151,4;208898,4;706963,37;7056568,18;0;I;0;ACCROCHE;2019;1;Permanent horaire;;,,
TMJ19_22;01/01/2019;A0001;1355,6;209;59;N;151,4;208898,4;706963,37;7056568,18;0;210;59;N;506;210254;706031,24;7057548,76;0;I;0;ACCROCHE;2019;1;Permanent horaire;;,,
TMJ19_23;01/01/2019;A0001;819;210;59;N;506;210254;706031,24;7057548,76;0;210;59;N;1325;211073;705822,95;7058228,67;0;I;0;ACCROCHE;2019;1;Permanent horaire;;,,,,,
TMJ19_24;01/01/2019;A0001;50;210;59;N;1325;211073;705822,95;7058228,67;0;210;59;N;1375;211123;705853,12;7058267,95;0;I;0;ACCROCHE;0;;;;,,,,,
TMJ19_25;01/01/2019;A0001A;1026,9;0;59;N;0;0;706972,74;7056541,17;0;0;59;N;1026,9;1026,9;707662,24;7055847,86;0;I;0;ACCROCHE;2019;8;Temporaire journalier;;,,
TMJ19_26;01/01/2019;A0001A;152,1;0;59;N;1026,9;1026,9;707662,24;7055847,86;0;0;59;N;1179;1179;707804,17;7055831,63;0;I;0;ACCROCHE;2019;8;Temporaire journalier;;,,
Sanef_38;01/01/2019;A0002;3533;0;80;C;0;0;691468,61;6990871,19;0;3;80;C;533;3533;693370,6;6993152,82;0;I;0;ACCROCHE;2019;1;Permanent horaire;23269;23,17,,,,
0Odmg0O_section1_Sanef_38;01/01/2019;A0002;1122;3;80;C;533;3533;693370,6;6993152,82;0;4;62;C;655;4655;694311,12;6993756,09;0;I;0;ACCROCHE;2019;1;Permanent horaire;23269;23,17,,,,
0Odmg0O_section2_Sanef_38;01/01/2019;A0002;382;4;62;C;655;4655;694311,12;6993756,09;0;5;80;C;37;5037;694644,11;6993988,07;0;I;0;ACCROCHE;2019;1;Permanent horaire;23269;23,17,,,,
0Odmg0O_section3_Sanef_38;01/01/2019;A0002;18563;5;80;C;37;5037;694644,11;6993988,07;0;23;62;C;600;23600;709099,55;7005132,49;0;I;0;ACCROCHE;2019;1;Permanent horaire;23269;23,17,,,,
Sanef_39;01/01/2019;A0002;39;23;62;C;600;23600;709099,55;7005132,49;0;23;62;C;639;23639;709125,65;7005156,86;0;I;0;ACCROCHE;2019;1;Permanent horaire;30405;22,11,,,,
0Odmg0O_section1_Sanef_39;01/01/2019;A0002;5675;23;62;C;639;23639;709125,65;7005156,86;0;29;59;C;314;29314;713257,98;7008860,47;0;I;0;ACCROCHE;2019;1;Permanent horaire;30405;22,11,,,,
